"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5142","Full Sync Flow","e2e-tests","2025-12-21","passed","2025-12-21","Hybrid E2E - Enterprise Architecture","","",""
"","4896","Should handle malicious usernames","ai-tests","2025-12-21","passed","2025-12-21","AI-Driven Fuzz Testing","","",""
"","1538","1. Should match the Login Form design","visual-tests","2025-12-21","passed","2025-12-21","Visual Regression - Static Components","","",""
"","1335","1. Should display empty state if galleries API returns 500","ui-tests","2025-12-21","passed","2025-12-21","UI Resilience - API Error Handling","","",""
"","1405","2. Should match the Dashboard Sidebar design","visual-tests","2025-12-21","passed","2025-12-21","Visual Regression - Static Components","","",""
"","1331","2. Should display empty state if galleries API returns empty list","ui-tests","2025-12-21","passed","2025-12-21","UI Resilience - API Error Handling","","",""
"","842","1. Gallery created via API should exist in MongoDB","data-validation-tests","2025-12-21","passed","2025-12-21","Data Validation - API vs DB (Refactored)","","",""
"","1330","Should detect sensitive info in Error Responses (Mocked 500)","ai-tests","2025-12-21","passed","2025-12-21","AI-Assisted Security Scans","","",""
"","166","Should not expose PII in public API responses","ai-tests","2025-12-21","passed","2025-12-21","AI-Assisted Security Scans","","",""
"","578","1. CREATE - Should create a new gallery","api-tests","2025-12-21","passed","2025-12-21","Gallery API - Full CRUD Flow (Refactored)","","",""
"","333","3. DELETE - Should delete the created gallery","api-tests","2025-12-21","passed","2025-12-21","Gallery API - Full CRUD Flow (Refactored)","","",""
"","1370","2. Should be able to log out","ui-tests","2025-12-21","passed","2025-12-21","Dashboard Page - Authenticated UI","","",""
"","2462","Should verify image content efficiently (One-Shot)","ai-tests","2025-12-21","passed","2025-12-21","AI Vision Capabilities","","",""
"","175","2. READ - Should retrieve the created gallery (public GET)","api-tests","2025-12-21","passed","2025-12-21","Gallery API - Full CRUD Flow (Refactored)","","",""
"","939","1. Should generate creative title via Gemini and validate relevance","ai-tests","2025-12-21","passed","2025-12-21","AI-Assisted Content Validation","","",""
"","3124","Production Security Scan - Real Traffic Analysis","ai-tests","2025-12-21","passed","2025-12-21","AI-Assisted Security Scans","","",""
"","1409","1. Should load dashboard and show create button","ui-tests","2025-12-21","passed","2025-12-21","Dashboard Page - Authenticated UI","","",""
